2022-06-12 21:25:13,221 INFO n.Main [main] 40757.07645464681   
1365.672072422345
2022-06-12 21:25:13,271 INFO n.r.Graph [main] BusStop{id=0, name='null', latitude=0.0, longitude=0.0, city=null}
2022-06-12 21:25:13,301 INFO n.r.Graph [main] BusStop{id=1, name='Malinovka', latitude=53.8633, longitude=27.5341, city=City{id=1, name='null'}}
2022-06-12 21:25:13,341 INFO n.r.Graph [main] BusStop{id=2, name='Petrovschina', latitude=53.864, longitude=27.5419, city=City{id=1, name='null'}}
2022-06-12 21:25:13,371 INFO n.r.Graph [main] BusStop{id=3, name='Mihalovo', latitude=53.8655, longitude=27.5303, city=City{id=1, name='null'}}
2022-06-12 21:25:13,401 INFO n.r.Graph [main] BusStop{id=4, name='Grushevka', latitude=53.87, longitude=27.5339, city=City{id=1, name='null'}}
2022-06-12 21:25:13,441 INFO n.r.Graph [main] BusStop{id=5, name='Lenina', latitude=53.8727, longitude=27.5272, city=City{id=1, name='null'}}
2022-06-12 21:25:13,481 INFO n.r.Graph [main] BusStop{id=6, name='Octobrs', latitude=53.8777, longitude=27.5442, city=City{id=1, name='null'}}
2022-06-12 21:25:13,511 INFO n.r.Graph [main] BusStop{id=7, name='Pobedy', latitude=53.8799, longitude=27.5356, city=City{id=1, name='null'}}
2022-06-12 21:25:13,541 INFO n.r.Graph [main] BusStop{id=8, name='Pervomayskay', latitude=53.8844, longitude=27.5346, city=City{id=1, name='null'}}
2022-06-12 21:25:13,571 INFO n.r.Graph [main] BusStop{id=9, name='Partizanskay', latitude=53.8822, longitude=27.5195, city=City{id=1, name='null'}}
2022-06-12 21:25:13,611 INFO n.r.Graph [main] BusStop{id=10, name='Mogilevskay', latitude=53.8806, longitude=27.5835, city=City{id=1, name='null'}}
2022-06-12 21:25:13,641 INFO n.r.Graph [main] BusStop{id=11, name='Vokzal', latitude=54.0129, longitude=28.1436, city=City{id=2, name='null'}}
2022-06-12 21:25:13,681 INFO n.r.Graph [main] BusStop{id=12, name='Truda', latitude=54.0106, longitude=28.1374, city=City{id=2, name='null'}}
2022-06-12 21:25:13,711 INFO n.r.Graph [main] BusStop{id=13, name='Electrosety', latitude=54.0074, longitude=28.1141, city=City{id=2, name='null'}}
2022-06-12 21:25:13,741 INFO n.r.Graph [main] BusStop{id=14, name='Kamenchikova', latitude=54.0176, longitude=28.0612, city=City{id=2, name='null'}}
2022-06-12 21:25:13,771 INFO n.r.Graph [main] BusStop{id=15, name='Krupskay', latitude=54.0252, longitude=28.1, city=City{id=2, name='null'}}
2022-06-12 21:25:13,811 INFO n.r.Graph [main] BusStop{id=16, name='Nagornaya', latitude=54.0287, longitude=28.1101, city=City{id=2, name='null'}}
2022-06-12 21:25:13,841 INFO n.r.Graph [main] BusStop{id=17, name='Gromyko', latitude=54.0253, longitude=28.0831, city=City{id=2, name='null'}}
2022-06-12 21:25:13,871 INFO n.r.Graph [main] BusStop{id=18, name='Makayenka', latitude=54.0353, longitude=28.0841, city=City{id=2, name='null'}}
2022-06-12 21:25:13,901 INFO n.r.Graph [main] BusStop{id=19, name='Kiseleva', latitude=54.0453, longitude=28.1081, city=City{id=2, name='null'}}
2022-06-12 21:25:13,901 INFO n.Main [main] [Lnavigation.realization.Peak;@5f031ebd
