2022-06-12 21:22:15,967 INFO n.Main [main] 40757.07645464681   
1365.672072422345
2022-06-12 21:22:16,013 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,013 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,013 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.r.Graph [main] BusStop{id=20, name='Kurchatova', latitude=54.0174, longitude=28.1041, city=null}
2022-06-12 21:22:16,023 INFO n.Main [main] [Lnavigation.realization.Peak;@5af3a0f
